epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,learning_rate
33,0.03466281825855661,0.9891826923076923,0.10503396128653548,0.9782051282051282,0.10503396128653548,0.9782051282051282,0.000710553227272292
34,0.033100618106217526,0.9893830128205128,0.09255543634993955,0.9839743589743589,0.09255543634993955,0.9839743589743589,0.000703447694999569
35,0.027551890574753858,0.9915865384615384,0.07362203302443959,0.9871794871794872,0.07362203302443959,0.9871794871794872,0.0006964132180495733
36,0.036463542972715236,0.9883814102564102,0.08503619496943429,0.9846153846153847,0.08503619496943429,0.9846153846153847,0.0006894490858690775
37,0.028655957554478962,0.9915865384615384,0.09548527243314311,0.9769230769230769,0.09548527243314311,0.9769230769230769,0.0006825545950103868
38,0.024594277033033088,0.9917868589743589,0.07474587487056851,0.9878205128205129,0.07474587487056851,0.9878205128205129,0.000675729049060283
39,0.022030976169611305,0.9939903846153846,0.09599241435324074,0.9794871794871794,0.09599241435324074,0.9794871794871794,0.0006689717585696801
40,0.023721583302502926,0.9933894230769231,0.12155437186360359,0.9743589743589743,0.12155437186360359,0.9743589743589743,0.0006622820409839833
41,0.02252340659749909,0.9947916666666666,0.08476120963408902,0.982051282051282,0.08476120963408902,0.982051282051282,0.0006556592205741434
42,0.02025598428922538,0.9931891025641025,0.0991570749238599,0.9769230769230769,0.0991570749238599,0.9769230769230769,0.0006491026283684019
43,0.02663568265359992,0.9909855769230769,0.10602769915014505,0.9801282051282051,0.10602769915014505,0.9801282051282051,0.0006426116020847179
44,0.0245307531963007,0.9931891025641025,0.08034950010478496,0.985897435897436,0.08034950010478496,0.985897435897436,0.0006361854860638707
45,0.020996955850233253,0.9949919871794872,0.08471555072523188,0.9826923076923076,0.08471555072523188,0.9826923076923076,0.000629823631203232
46,0.015556803126879131,0.9955929487179487,0.08213402463588863,0.9884615384615385,0.08213402463588863,0.9884615384615385,0.0006235253948911997
47,0.019703879128568448,0.9947916666666666,0.10473962244752329,0.982051282051282,0.10473962244752329,0.982051282051282,0.0006172901409422877
